model,source,target,regime,T,ece_temp,ece_platt,ece_raw
minilm-l6,dbpedia-entity,dbpedia-entity,oracle,5.831675060549609,0.2190502120781973,0.02744978725743604,0.29663573830396395
minilm-l6,trec-covid,dbpedia-entity,single,4.401586634724451,0.22396860871016916,0.21716815748514734,0.29663573830396395
minilm-l6,trec-dl-2019,dbpedia-entity,single,6.564648526479132,0.21308879371212341,0.06036514714707967,0.29663573830396395
minilm-l6,trec-dl-2020,dbpedia-entity,single,9.59556824350584,0.22159482394264973,0.14940047214259508,0.29663573830396395
minilm-l6,webis-touche2020,dbpedia-entity,single,4.826696603313794,0.22361582689972337,0.4037512511136922,0.29663573830396395
minilm-l6,LODO,dbpedia-entity,lodo,6.680506197169103,0.2139497833219755,0.05373951705668348,0.29663573830396395
minilm-l6,trec-covid,trec-covid,oracle,4.401586634724451,0.045258989036769115,0.04422956289127876,0.23493210248374763
minilm-l6,dbpedia-entity,trec-covid,single,5.831675060549609,0.05742804008194162,0.2170989549900514,0.23493210248374763
minilm-l6,trec-dl-2019,trec-covid,single,6.564648526479132,0.07977526645220052,0.20705801869739815,0.23493210248374763
minilm-l6,trec-dl-2020,trec-covid,single,9.59556824350584,0.0943231886152019,0.40023641074441774,0.23493210248374763
minilm-l6,webis-touche2020,trec-covid,single,4.826696603313794,0.04812596979689267,0.16148306827521108,0.23493210248374763
minilm-l6,LODO,trec-covid,lodo,6.77722406981193,0.0858342256589918,0.24961834826517393,0.23493210248374763
minilm-l6,trec-dl-2019,trec-dl-2019,oracle,6.564648526479132,0.18046514021760984,0.04649149415804969,0.3120872321399696
minilm-l6,dbpedia-entity,trec-dl-2019,single,5.831675060549609,0.1836805712990624,0.08027052547581474,0.3120872321399696
minilm-l6,trec-covid,trec-dl-2019,single,4.401586634724451,0.19810497091642074,0.1902774067437296,0.3120872321399696
minilm-l6,trec-dl-2020,trec-dl-2019,single,9.59556824350584,0.18908716462946723,0.17101711512412648,0.3120872321399696
minilm-l6,webis-touche2020,trec-dl-2019,single,4.826696603313794,0.19292320538205573,0.3852469367383297,0.3120872321399696
minilm-l6,LODO,trec-dl-2019,lodo,6.2810862600249875,0.18163904989039703,0.0665039606627541,0.3120872321399696
minilm-l6,trec-dl-2020,trec-dl-2020,oracle,9.59556824350584,0.34932262337505504,0.016971985445501776,0.4014733531327235
minilm-l6,dbpedia-entity,trec-dl-2020,single,5.831675060549609,0.36011885559416307,0.14516735024739516,0.4014733531327235
minilm-l6,trec-covid,trec-dl-2020,single,4.401586634724451,0.36771302428089986,0.3605014641868526,0.4014733531327235
minilm-l6,trec-dl-2019,trec-dl-2020,single,6.564648526479132,0.35703324406783515,0.17153800821576082,0.4014733531327235
minilm-l6,webis-touche2020,trec-dl-2020,single,4.826696603313794,0.36504338278113807,0.5613386468781861,0.4014733531327235
minilm-l6,LODO,trec-dl-2020,lodo,5.645656090089999,0.3615898100624528,0.2073270638953364,0.4014733531327235
minilm-l6,webis-touche2020,webis-touche2020,oracle,4.826696603313794,0.21456933693972022,0.10259700927648542,0.2288210172171019
minilm-l6,dbpedia-entity,webis-touche2020,single,5.831675060549609,0.22902027611275136,0.41050591780107065,0.2288210172171019
minilm-l6,trec-covid,webis-touche2020,single,4.401586634724451,0.2152830677212409,0.220831570904136,0.2288210172171019
minilm-l6,trec-dl-2019,webis-touche2020,single,6.564648526479132,0.22371526845033812,0.3841011314896526,0.2288210172171019
minilm-l6,trec-dl-2020,webis-touche2020,single,9.59556824350584,0.22204635540644327,0.5388584692050445,0.2288210172171019
minilm-l6,LODO,webis-touche2020,lodo,6.393368781830007,0.2237495650660317,0.40284964798689327,0.2288210172171019
minilm-l12,dbpedia-entity,dbpedia-entity,oracle,6.588228239469915,0.22146620388982394,0.028152080931513543,0.31344811660644345
minilm-l12,trec-covid,dbpedia-entity,single,4.837425396235783,0.23470450776272728,0.1884603851093737,0.31344811660644345
minilm-l12,trec-dl-2019,dbpedia-entity,single,7.13679021884536,0.2214691706847272,0.04966983182937631,0.31344811660644345
minilm-l12,trec-dl-2020,dbpedia-entity,single,11.67184566453145,0.21968788920573692,0.14923784711016597,0.31344811660644345
minilm-l12,webis-touche2020,dbpedia-entity,single,3.973611695559365,0.24149745187158808,0.3609445279272496,0.31344811660644345
minilm-l12,LODO,dbpedia-entity,lodo,7.29608504465767,0.22228736973255447,0.036815474325425604,0.31344811660644345
minilm-l12,trec-covid,trec-covid,oracle,4.837425396235783,0.058311992070891626,0.04388660485255045,0.25114574637885606
minilm-l12,dbpedia-entity,trec-covid,single,6.588228239469915,0.07362375283234415,0.18621269594769418,0.25114574637885606
minilm-l12,trec-dl-2019,trec-covid,single,7.13679021884536,0.07449985686496705,0.18198987489243879,0.25114574637885606
minilm-l12,trec-dl-2020,trec-covid,single,11.67184566453145,0.10853805097186524,0.37594982487170225,0.25114574637885606
minilm-l12,webis-touche2020,trec-covid,single,3.973611695559365,0.0780972422296728,0.14908581248590333,0.25114574637885606
minilm-l12,LODO,trec-covid,lodo,7.573752123809121,0.0880109470839193,0.22241662358472097,0.25114574637885606
minilm-l12,trec-dl-2019,trec-dl-2019,oracle,7.13679021884536,0.19398829603288245,0.05858952497509709,0.32930743242658395
minilm-l12,dbpedia-entity,trec-dl-2019,single,6.588228239469915,0.19303117529630456,0.0725237614308099,0.32930743242658395
minilm-l12,trec-covid,trec-dl-2019,single,4.837425396235783,0.20651082313924074,0.16619036628295286,0.32930743242658395
minilm-l12,trec-dl-2020,trec-dl-2019,single,11.67184566453145,0.19609431934067195,0.16885213919245984,0.32930743242658395
minilm-l12,webis-touche2020,trec-dl-2019,single,3.973611695559365,0.21714374978104986,0.34166004171971825,0.32930743242658395
minilm-l12,LODO,trec-dl-2019,lodo,6.986608907610746,0.1966663963078212,0.06944416990829443,0.32930743242658395
minilm-l12,trec-dl-2020,trec-dl-2020,oracle,11.67184566453145,0.35114772713733655,0.021442884984729425,0.4216953534141545
minilm-l12,dbpedia-entity,trec-dl-2020,single,6.588228239469915,0.36520523901581975,0.14450080509445837,0.4216953534141545
minilm-l12,trec-covid,trec-dl-2020,single,4.837425396235783,0.3755713408623536,0.32804575196719304,0.4216953534141545
minilm-l12,trec-dl-2019,trec-dl-2020,single,7.13679021884536,0.3628347285859735,0.16745290813076474,0.4216953534141545
minilm-l12,webis-touche2020,trec-dl-2020,single,3.973611695559365,0.3829734699837955,0.512047297589798,0.4216953534141545
minilm-l12,LODO,trec-dl-2020,lodo,6.151971358013258,0.36734283929595724,0.19651314361255368,0.4216953534141545
minilm-l12,webis-touche2020,webis-touche2020,oracle,3.973611695559365,0.15985813629139894,0.11010897025060301,0.16631201954570202
minilm-l12,dbpedia-entity,webis-touche2020,single,6.588228239469915,0.1976082813721033,0.3570335288215911,0.16631201954570202
minilm-l12,trec-covid,webis-touche2020,single,4.837425396235783,0.17277701259971415,0.1983077501079255,0.16631201954570202
minilm-l12,trec-dl-2019,webis-touche2020,single,7.13679021884536,0.18484194764176257,0.34041773033917655,0.16631201954570202
minilm-l12,trec-dl-2020,webis-touche2020,single,11.67184566453145,0.19787696153862672,0.5049702487454062,0.16631201954570202
minilm-l12,LODO,webis-touche2020,lodo,7.15997457973444,0.18486178999052108,0.34333356628647205,0.16631201954570202
tinybert-l2,dbpedia-entity,dbpedia-entity,oracle,6.746783919426322,0.19598430404214395,0.02982874548677535,0.28079771610499044
tinybert-l2,trec-covid,dbpedia-entity,single,6.475647754267066,0.1950682317657529,0.19351132888567518,0.28079771610499044
