model,dataset,prevalence,n_judged,ece_ew_5,ece_em_5,ece_ew_10,ece_em_10,ece_ew_20,ece_em_20,ece_ew_30,ece_em_30,ece_ew_15,ece_em_15
bge-reranker,dbpedia-entity,0.34698322805489,9182,0.15938383164105396,0.14790137371008166,0.1593838133010384,0.15691616077455212,0.15938382859371622,0.1590067631930826,0.1597452227208188,0.15831691309558346,0.1593838399282223,0.1583169049724895
electra-base,trec-covid,0.6241726618705036,3475,0.27813900356670074,0.2441175690057466,0.27822215719027915,0.24735521286692502,0.2785714029022258,0.27583204031118735,0.2792571001980963,0.27605503551037924,0.27847603292961554,0.2653912364742585
electra-base,nfcorpus,1.0,1941,0.8523340325261332,0.8523340393829868,0.852334031009915,0.8523340372715269,0.8523340211161125,0.8523340348263471,0.8523340277334928,0.8523340311268235,0.8523340303391327,0.8523340258461567
electra-base,fiqa,1.0,756,0.3985293391628792,0.3985293588968162,0.3985293835214285,0.3985293641724629,0.3985293728851334,0.39852937076038053,0.3985293699211623,0.3985293616573732,0.3985293494172828,0.39852937983663717
electra-base,scifact,1.0,298,0.23687074233421546,0.2368707557477607,0.23687076128569223,0.23687075843547012,0.2368707320084108,0.23687076383901615,0.23687078655016097,0.23687077501002826,0.23687078288737565,0.2368707952258371
electra-base,arguana,1.0,1316,0.12803893384033965,0.12803890642152368,0.12803885598856626,0.12803892216059215,0.12803896467872303,0.12803892854114252,0.1280389000296502,0.12803893536753883,0.12803894448544162,0.12803893603418465
electra-base,scidocs,0.9487034949267192,1774,0.5000849870698193,0.5000850121163724,0.500085024806758,0.500085009950323,0.5000850148299517,0.5000850128127972,0.5000849994794038,0.5004781059425978,0.5000850161350634,0.5000850055379633
electra-base,webis-touche2020,0.7795275590551181,635,0.2756374306624799,0.2767558500966365,0.28005628925784837,0.2796805666787568,0.28318687222428685,0.2830914192322772,0.28410951040655835,0.28461935803699573,0.28116653670710845,0.2792730526808891
electra-base,quora,1.0,1278,0.49409477594592766,0.4940947757273073,0.4940947639392995,0.4940947733556411,0.4940947840902633,0.4940947923834431,0.4940947693669135,0.49409477849695355,0.49409477554220865,0.49409476390085866
electra-base,dbpedia-entity,0.34698322805489,9182,0.33013862471900146,0.3302240322028155,0.3307129597618763,0.3302240251091641,0.33071294280961466,0.33022402897615094,0.3310947805393363,0.330224033483384,0.3309347415495071,0.33022401320919037
