model,dataset,ndcg10_raw,ndcg10_cal,ndcg10_delta,map_raw,recall100_raw,abst_prec_raw,abst_prec_cal,accept_rate_raw,accept_rate_cal,abstain_rate_raw,abstain_rate_cal
bge-reranker,trec-covid,0.656975645591828,0.656975645591828,0.0,0.6580247295496601,0.09687098864289931,0.8333333333333334,0.8333333333333334,0.96,0.96,0.04,0.04
bge-reranker,nfcorpus,0.3058272893471508,0.3058272893471508,0.0,0.38296915031543866,0.23612018488155653,0.601063829787234,0.601063829787234,0.5820433436532507,0.5820433436532507,0.4179566563467492,0.4179566563467492
bge-reranker,fiqa,0.3131941430861208,0.3131941430861208,0.0,0.34939132662955935,0.49462447703188445,0.36989247311827955,0.36989247311827955,0.7175925925925926,0.7175925925925926,0.2824074074074074,0.2824074074074074
bge-reranker,scifact,0.6971271980329697,0.6971271980329697,0.0,0.6605715281321463,0.8758888888888888,0.7046632124352331,0.7046632124352331,0.6433333333333333,0.6433333333333333,0.3566666666666667,0.3566666666666667
bge-reranker,arguana,0.20431781989310835,0.20431781989310835,0.0,0.1484792849803507,0.9359886201991465,0.004267425320056899,0.004267425320056899,1.0,1.0,0.0,0.0
bge-reranker,scidocs,0.1508254933922006,0.1508254933922006,0.0,0.20299493532191468,0.3417833333333334,0.22264150943396227,0.22264150943396227,0.53,0.53,0.47,0.47
bge-reranker,webis-touche2020,0.27521090568343537,0.27521090568343537,0.0,0.28351873937774175,0.5787112228565428,0.3125,0.3125,0.9795918367346939,0.9795918367346939,0.02040816326530612,0.02040816326530612
bge-reranker,quora,0.7104889574265271,0.7104575550900591,-3.140233646792279e-05,0.6746714660194071,0.949352380952381,0.6036036036036037,0.6026026026026026,0.999,0.999,0.001,0.001
bge-reranker,dbpedia-entity,0.3953686037708154,0.39547014042384604,0.00010153665303064274,0.5006081031177377,0.42142210698101645,0.6824512534818942,0.6824512534818942,0.8975,0.8975,0.1025,0.1025
electra-base,trec-covid,0.6674207500552803,0.6674207500552803,0.0,0.683862098498478,0.09687098864289931,0.8571428571428571,0.8571428571428571,0.98,0.98,0.02,0.02
electra-base,nfcorpus,0.2955608478585073,0.2955608478585073,0.0,0.3490360910059547,0.23612018488155653,0.624113475177305,0.624113475177305,0.43653250773993807,0.43653250773993807,0.5634674922600619,0.5634674922600619
electra-base,fiqa,0.3282862461237694,0.3282862461237694,0.0,0.3687912093467528,0.49462447703188445,0.3813084112149533,0.3813084112149533,0.8256172839506173,0.8256172839506173,0.1743827160493827,0.1743827160493827
electra-base,scifact,0.6683440851827239,0.6683440851827239,0.0,0.6396238118674482,0.8758888888888888,0.6353383458646616,0.6353383458646616,0.8866666666666667,0.8866666666666667,0.11333333333333333,0.11333333333333333
electra-base,arguana,0.2449673758228115,0.2449673758228115,0.0,0.18083015174879138,0.9359886201991465,0.016358463726884778,0.016358463726884778,1.0,1.0,0.0,0.0
electra-base,scidocs,0.15272622858620893,0.15272622858620893,0.0,0.21154012538662686,0.3417833333333334,0.1897891231964484,0.1897891231964484,0.901,0.901,0.099,0.099
electra-base,webis-touche2020,0.2746562438706169,0.2747076147571405,5.137088652362731e-05,0.29193340786188315,0.5787112228565428,0.2978723404255319,0.2978723404255319,0.9591836734693877,0.9591836734693877,0.04081632653061224,0.04081632653061224
electra-base,quora,0.7717513709976948,0.7717513709976948,0.0,0.7370655049915811,0.949352380952381,0.61698956780924,0.61698956780924,0.671,0.671,0.329,0.329
electra-base,dbpedia-entity,0.1526676771049468,0.1526676771049468,0.0,0.21442340289679548,0.42142210698101645,0.1925,0.1925,1.0,1.0,0.0,0.0
