model,dataset,n_judged,prevalence,n_pos,n_neg,n_minority,valid,raw_ece,raw_mce,raw_brier,raw_ece_full,temp_T,temp_ece,platt_ece,iso_ece,model_group
tinybert-l2,trec-dl-2020,5686,0.16865986633837496,959,4727,959,True,0.3948999434975734,0.7693478061248538,0.38361261402960006,0.3833313648808568,10.691411076349695,0.3430206020384948,0.028575318014952587,0.01788182302921051,original
tinybert-l2,webis-touche2020,635,0.7795275590551181,495,140,140,True,0.33886988136428664,0.7104763706651458,0.3233029282706642,0.33816141166765507,11.081017457656968,0.2443748758754618,0.060282551639199544,0.03187351401377405,original
bge-reranker,arguana,1316,1.0,1316,0,0,False,0.45310134711609085,0.9778871833844403,0.33989728590277113,0.44563685458345104,8.69615523208921,0.48981648811946066,,0.0,original
bge-reranker,dbpedia-entity,9182,0.34698322805489,3186,5996,3186,True,0.1592859625592146,0.35504269680801714,0.20248970009399614,0.15938382899186113,2.9622344136277925,0.10694712414399997,0.0277744577922117,0.022050236139260552,original
bge-reranker,fiqa,756,1.0,756,0,0,False,0.4937322833703731,0.978874435793516,0.395337017263888,0.5096761209337088,999.9999770367549,0.49998255841569716,,0.0,original
bge-reranker,nfcorpus,1941,1.0,1941,0,0,False,0.6648960221953927,0.9874692240848039,0.5726801383262021,0.6623821766737042,999.9999785726675,0.50049719241132,,0.0,original
bge-reranker,quora,1278,1.0,1278,0,0,False,0.05809964671859276,0.9730243332960318,0.029604691931769716,0.05909786019831954,1.0954797169832682,0.06147894387380378,,0.0,original
bge-reranker,scidocs,1774,0.9487034949267192,1683,91,91,False,0.7623428057843415,0.9045242299411713,0.6969276263462939,0.7520845457946951,999.9999786110205,0.4489468429858262,0.00641220703244931,0.011675904339354917,original
bge-reranker,scifact,298,1.0,298,0,0,False,0.4349878868484884,0.9834967719237342,0.3567397246816623,0.4447802738621137,11.683575764919029,0.48301254743004346,,0.0,original
bge-reranker,trec-covid,3475,0.6241726618705036,2169,1306,1306,True,0.22759935961686412,0.4010955108891494,0.2609970879011484,0.22636494738745433,4.386437927254441,0.03730081826202082,0.041352451117748976,0.028188214965243298,original
bge-reranker,trec-dl-2019,4612,0.34952298352124894,1612,3000,1612,True,0.2067809958274916,0.47737233497604276,0.23483917310762298,0.19983856315693674,3.2930198261318417,0.14513210982646454,0.030534050968318942,0.03902304872818868,original
bge-reranker,trec-dl-2020,5686,0.16865986633837496,959,4727,959,True,0.2618549013885998,0.6769464909685942,0.24041971057642178,0.2494892158714807,3.374813469346393,0.28573513190738725,0.019510214046954452,0.017543493039808043,original
bge-reranker,webis-touche2020,635,0.7795275590551181,495,140,140,True,0.2922343981582589,0.6459622866687844,0.2761842703764327,0.29155247337295187,6.78039382151909,0.23582535158712867,0.06837212649720384,0.01860791818798231,original
electra-base,arguana,1316,1.0,1316,0,0,False,0.13070362497318586,0.9677143588393508,0.08410177495314589,0.12803893473165046,1.3124354784538408,0.16051006492625516,,0.0,original
electra-base,dbpedia-entity,9182,0.34698322805489,3186,5996,3186,True,0.32985423812010384,0.5230886392503498,0.34800470245785375,0.33093474459948835,6.840410623534309,0.16383117721873652,0.03498932969844131,0.02123585805150542,original
electra-base,fiqa,756,1.0,756,0,0,False,0.3869049901011541,0.9807671988097119,0.3251875945878004,0.39852936956101725,36.13128494937315,0.49631852107639063,,0.0,original
electra-base,nfcorpus,1941,1.0,1941,0,0,False,0.8459620463561813,0.991257053057776,0.8179065272665803,0.8523340287643258,999.9999786264298,0.501242850296699,,0.0,original
electra-base,quora,1278,1.0,1278,0,0,False,0.494775650088771,0.9787403164970256,0.37044163233038374,0.4940947823743735,999.9999760141304,0.5000490651669974,,0.0,original
electra-base,scidocs,1774,0.9487034949267192,1683,91,91,False,0.5120497514804793,0.8904747962749202,0.47473014321631435,0.5000850075111248,999.9999775848303,0.44850300821527295,0.019359231335176544,0.008570475044944622,original
electra-base,scifact,298,1.0,298,0,0,False,0.20481232822555057,0.9909789062338539,0.16167967069935724,0.23687077499790807,5.377143478590491,0.40354660400335896,,0.0,original
electra-base,trec-covid,3475,0.6241726618705036,2169,1306,1306,True,0.28495042273889926,0.6749163911110874,0.28982914210952576,0.2784760624897753,4.770323590325675,0.08449391151142736,0.08449831032619637,0.025390913144784356,original
electra-base,trec-dl-2019,4612,0.34952298352124894,1612,3000,1612,True,0.24975640236614124,0.369865921420887,0.2667959151536314,0.23736394065130817,5.92444572758636,0.03483175261871188,0.0357678440418543,0.03780469248364578,original
electra-base,trec-dl-2020,5686,0.16865986633837496,959,4727,959,True,0.13876716687026053,0.5623088931829682,0.1500665343317044,0.13421691643785189,2.8355608448606273,0.08693591041231057,0.01881360329854352,0.015581298494375916,original
electra-base,webis-touche2020,635,0.7795275590551181,495,140,140,True,0.28302403336729937,0.829645270727227,0.28087541488197965,0.2811665443357592,6.095301965363325,0.24919549383531697,0.06829925104515785,0.051696122417652306,original
bge-large,dbpedia-entity,9182,0.34698322805489,3186,5996,3186,True,0.15574559437013724,0.3388824926506837,0.19400184013948293,0.15642237238904658,2.9616647467550834,0.049220723656637974,0.027069790187657036,0.024128631652120786,extension
