model,dataset,method,tau,precision,coverage,n_accepted,n_test,gap,prevalence
minilm-l6,trec-dl-2019,raw,0.6,0.48976377952755906,0.5507372072853426,1270,2306,0.11023622047244092,0.34952298352124894
minilm-l6,trec-dl-2019,raw,0.7,0.507563025210084,0.5160450997398092,1190,2306,0.19243697478991595,0.34952298352124894
minilm-l6,trec-dl-2019,raw,0.8,0.5171480144404332,0.48048568950563747,1108,2306,0.2828519855595668,0.34952298352124894
minilm-l6,trec-dl-2019,raw,0.9,0.5382231404958677,0.419774501300954,968,2306,0.3617768595041323,0.34952298352124894
minilm-l6,trec-dl-2019,temp,0.5,0.4728624535315985,0.5832610581092801,1345,2306,0.027137546468401497,0.34952298352124894
minilm-l6,trec-dl-2019,temp,0.6,0.5536912751677853,0.3876843018213356,894,2306,0.04630872483221471,0.34952298352124894
minilm-l6,trec-dl-2019,temp,0.7,0.6956521739130435,0.20945359930615784,483,2306,0.004347826086956497,0.34952298352124894
minilm-l6,trec-dl-2019,temp,0.8,0.7536231884057971,0.02992194275802255,69,2306,0.04637681159420293,0.34952298352124894
minilm-l6,trec-dl-2019,temp,0.9,,0.0,0,2306,,0.34952298352124894
minilm-l6,trec-dl-2019,platt,0.5,0.6492411467116358,0.25715524718126626,593,2306,-0.1492411467116358,0.34952298352124894
minilm-l6,trec-dl-2019,platt,0.6,0.7338709677419355,0.16131830008673026,372,2306,-0.13387096774193552,0.34952298352124894
minilm-l6,trec-dl-2019,platt,0.7,0.7762237762237763,0.062012142237640934,143,2306,-0.0762237762237763,0.34952298352124894
minilm-l6,trec-dl-2019,platt,0.8,,0.0008673026886383347,2,2306,,0.34952298352124894
minilm-l6,trec-dl-2019,platt,0.9,,0.0,0,2306,,0.34952298352124894
minilm-l6,trec-dl-2019,iso,0.5,0.6524701873935264,0.2545533391153513,587,2306,-0.15247018739352636,0.34952298352124894
minilm-l6,trec-dl-2019,iso,0.6,0.7352941176470589,0.16218560277536861,374,2306,-0.1352941176470589,0.34952298352124894
minilm-l6,trec-dl-2019,iso,0.7,0.7528735632183908,0.15091066782307025,348,2306,-0.05287356321839087,0.34952298352124894
minilm-l6,trec-dl-2019,iso,0.8,0.7909090909090909,0.09540329575021683,220,2306,0.00909090909090915,0.34952298352124894
minilm-l6,trec-dl-2019,iso,0.9,,0.0,0,2306,,0.34952298352124894
minilm-l6,trec-dl-2019,temp_lodo,0.5,0.4728624535315985,0.5832610581092801,1345,2306,0.027137546468401497,0.34952298352124894
minilm-l6,trec-dl-2019,temp_lodo,0.6,0.5518763796909493,0.39288811795316564,906,2306,0.04812362030905071,0.34952298352124894
minilm-l6,trec-dl-2019,temp_lodo,0.7,0.6771653543307087,0.22029488291413704,508,2306,0.022834645669291276,0.34952298352124894
minilm-l6,trec-dl-2019,temp_lodo,0.8,0.7578947368421053,0.0411968777103209,95,2306,0.04210526315789476,0.34952298352124894
minilm-l6,trec-dl-2019,temp_lodo,0.9,,0.0,0,2306,,0.34952298352124894
minilm-l6,trec-dl-2020,raw,0.5,0.27492260061919505,0.5680619064368625,1615,2843,0.22507739938080495,0.16848399577910658
minilm-l6,trec-dl-2020,raw,0.6,0.28286082474226804,0.5459022159690468,1552,2843,0.31713917525773194,0.16848399577910658
minilm-l6,trec-dl-2020,raw,0.7,0.2956403269754768,0.5163559620119592,1468,2843,0.40435967302452314,0.16848399577910658
minilm-l6,trec-dl-2020,raw,0.8,0.3101173020527859,0.47977488568413645,1364,2843,0.4898826979472141,0.16848399577910658
minilm-l6,trec-dl-2020,raw,0.9,0.3333333333333333,0.42842068237777,1218,2843,0.5666666666666667,0.16848399577910658
minilm-l6,trec-dl-2020,temp,0.5,0.27492260061919505,0.5680619064368625,1615,2843,0.22507739938080495,0.16848399577910658
minilm-l6,trec-dl-2020,temp,0.6,0.39443155452436196,0.3032008441786845,862,2843,0.20556844547563802,0.16848399577910658
minilm-l6,trec-dl-2020,temp,0.7,0.6091370558375635,0.06929300035174112,197,2843,0.09086294416243645,0.16848399577910658
minilm-l6,trec-dl-2020,temp,0.8,,0.0,0,2843,,0.16848399577910658
