comparison,n,mean_delta,cohens_dz,wins,p_ttest,p_wilcoxon,p_holm,significant_holm
temp  vs raw,20,-0.10820436143452997,-1.3740751424342346,20,6.60837353233058e-06,1.9073486328125e-06,1.1444091796875e-05,True
platt vs raw,20,-0.2953562357767914,-1.7184039723238964,20,3.028051221157011e-07,1.9073486328125e-06,1.1444091796875e-05,True
iso   vs raw,20,-0.3143860037893288,-1.9692736005433416,20,3.9087999410301226e-08,1.9073486328125e-06,1.1444091796875e-05,True
platt vs temp,20,-0.18715187434226144,-1.07628127710632,17,0.00012080501379183381,4.76837158203125e-05,9.5367431640625e-05,True
iso   vs temp,20,-0.20618164235479877,-1.2554290671913735,20,2.0541404769758562e-05,1.9073486328125e-06,1.1444091796875e-05,True
iso   vs platt,20,-0.0190297680125373,-0.8551350908578701,18,0.001144545695795152,0.0001049041748046875,0.0001049041748046875,True
