model,dataset,raw_ece,raw_mce,raw_brier,temp_T,temp_ece,temp_mce,temp_brier,temp_delta_ece,platt_coef,platt_intercept,platt_ece,platt_mce,platt_brier,platt_delta_ece,iso_ece,iso_mce,iso_brier,iso_delta_ece
minilm-l6,trec-covid,0.23493210248374763,0.4430842124498807,0.2548786179136152,4.401586567504006,0.045258989036769115,0.1458758373518248,0.1963741377511681,-0.18967311344697851,0.23242603864644518,-0.04190625023661549,0.04422955636805301,0.17481623844402594,0.19613506359207783,-0.19070254611569462,0.027200490176266155,0.196953022480011,0.19405877952759598,-0.20773161230748147
minilm-l6,nfcorpus,0.7122920662736335,0.9917628793045878,0.6537199168023512,19.999993094073297,0.5370213568333371,0.6167172491550446,0.29179861877595675,-0.17527070944029643,,,,,,,0.0,0.0,0.0,-0.7122920662736335
minilm-l6,fiqa,0.3024162050464717,0.9821302760392427,0.22217838877764762,4.357042417431871,0.39963413018082816,0.8985099792480469,0.19352324606721696,0.09721792513435645,,,,,,,0.0,0.0,0.0,-0.3024162050464717
minilm-l6,scifact,0.25641020517421254,0.9828039221465588,0.18901262621862966,5.565333843160106,0.397873651111286,0.880704440176487,0.1851597071739364,0.14146344593707344,,,,,,,0.0,0.0,0.0,-0.25641020517421254
minilm-l6,arguana,0.5576466827633535,0.9743885062634945,0.42721681640214393,19.999995981181453,0.5067047282464598,0.6113030016422272,0.25773899303183945,-0.05094195451689365,,,,,,,0.0,0.0,0.0,-0.5576466827633535
minilm-l6,scidocs,0.5336664637693507,0.9008446037769318,0.46219598328007916,19.999995541733057,0.4644947786140335,0.4945083545601886,0.2611407855717605,-0.06917168515531719,0.26799832516808064,3.8384317141770223,0.017611421417894343,0.21376758813858032,0.04366432842010989,-0.5160550423514564,0.010758383399066672,0.6666666567325592,0.04512459056738145,-0.522908080370284
minilm-l6,webis-touche2020,0.2288210172171019,0.5787931084632874,0.2267848708035812,4.826696835834579,0.21456935683136466,0.4220277025149419,0.20050413495987335,-0.014251660385737247,0.1420866285183288,1.0126845004653973,0.10259702173793839,0.39484795928001404,0.16247016441542558,-0.12622399547916352,0.0499765789546307,0.6970529854297638,0.1611567953483111,-0.1788444382624712
minilm-l6,quora,0.10680662857219926,0.9737998712807894,0.05930170107534559,1.1282405082590117,0.11387891777104614,0.9828986898064613,0.05916028446315435,0.007072289198846879,,,,,,,0.0,0.0,0.0,-0.10680662857219926
minilm-l6,dbpedia-entity,0.29663573830396395,0.6061985090093793,0.2935017623621766,5.831676149604897,0.2190502096471431,0.3230633873017237,0.21322969508825573,-0.07758552865682083,0.3393851885280135,-1.522885699882511,0.027449792710667838,0.09709566852071438,0.15865912824546774,-0.2691859455932961,0.024058338018563087,0.062251997169973206,0.1583782960266807,-0.27257740028540084
minilm-l12,trec-covid,0.25114574637885606,0.38414825804262276,0.26434138966596976,4.83742580325122,0.058311994921660386,0.18879511111821884,0.19770688494809854,-0.19283375145719567,0.247211055838153,-0.29758322786865604,0.04388661021141654,0.2378793025016785,0.19483338239461281,-0.20725913616743952,0.04234463655388773,0.19416480594211155,0.193153634741507,-0.20880110982496833
